diseaseId,cluster
umls:C2751898,6
umls:C3151464,6
umls:C1141890,6
umls:C0037052,4
umls:C2732979,6
umls:C2748542,6
umls:C1861983,6
umls:C1963067,6
umls:C1861984,6
umls:C1838527,6
umls:C0003811,6
umls:C0018801,6
umls:C0522055,6
umls:C0011071,7
umls:C0013798,6
umls:C0018799,7
umls:C1720983,6
umls:C0232197,6
umls:C0004245,6
umls:C0039070,6
umls:C0878544,4
umls:C0149721,6
umls:C0018802,6
umls:C0018800,7
umls:C0428977,4
umls:C0039239,8
umls:C0036974,4
umls:C1821417,8
umls:C0429087,7
umls:C0376297,7
umls:C0338480,6
umls:C0040336,6
umls:C0151636,10
umls:C0268446,2
umls:C0741923,6
umls:C0428908,8
umls:C0685108,6
umls:C0018790,5
umls:C0349788,7
umls:C2930805,6
umls:C0340491,6
umls:C0085615,6
umls:C0432306,2
umls:C0079035,6
umls:C0748694,6
umls:C1631597,4
umls:C1397307,3
umls:C3698186,6
umls:C0340427,10
umls:C1955837,6
umls:C0340489,7
umls:C0344431,6
umls:C0751534,8
umls:C0085648,3
umls:C0001127,10
umls:C0278488,10
umls:C0009806,4
umls:C1828221,8
umls:C1563715,6
umls:C1833661,10
umls:C0340850,6
umls:C0023211,4
umls:C0221047,6
umls:C0743841,10
umls:C3274789,10
umls:C1960469,7
umls:C0018794,3
umls:C2063326,8
umls:C0277558,6
umls:C1258666,2
umls:C0235480,3
umls:C0005859,6
umls:C0221055,6
umls:C0013264,7
umls:C3714570,7
umls:C0917713,7
umls:C0038220,4
umls:C0026850,7
umls:C0206656,7
umls:C0242973,5
umls:C0006663,7
umls:C0027626,7
umls:C0026851,7
umls:C1527311,7
umls:C3542021,7
umls:C3668940,7
umls:C0027868,7
umls:C0686353,6
umls:C0234958,7
umls:C0030552,7
umls:C0151786,4
umls:C0521170,7
umls:C0238288,4
umls:C0699743,6
umls:C0020564,4
umls:C0023434,7
umls:C0700327,7
umls:C0005956,6
umls:C0518014,6
umls:C0242698,7
umls:C0410174,7
umls:C3714552,7
umls:C0220766,4
umls:C1449563,7
umls:C0456702,7
umls:C0029434,6
umls:C1852502,7
umls:C2936331,7
umls:C0410158,7
umls:C0268542,7
umls:C0009917,10
umls:C0026821,6
umls:C0085655,5
umls:C1533847,7
umls:C0349782,7
umls:C0018203,3
umls:C0410173,7
umls:C0877009,7
umls:C1834674,10
umls:C0270960,7
umls:C0599766,4
umls:C0339528,7
umls:C0852654,4
umls:C0268418,7
umls:C0410165,7
umls:C0729233,8
umls:C1868675,2
umls:C0175709,7
umls:C0268505,3
umls:C2931687,6
umls:C0410179,10
umls:C0014378,6
umls:C1848172,10
umls:C0231748,9
umls:C0009691,7
umls:C0340434,7
umls:C0410214,8
umls:C0242526,2
umls:C0158447,6
umls:C0587246,10
umls:C0036529,10
umls:C0410538,10
umls:C1840264,2
umls:C0686377,6
umls:C0265673,10
umls:C0085084,9
umls:C0022821,10
umls:C0029464,10
umls:C0342345,4
umls:C0162283,6
umls:C1511789,10
umls:C2930900,7
umls:C0239337,8
umls:C0268450,6
umls:C0268615,7
umls:C0007570,5
umls:C0266273,6
umls:C0017547,7
umls:C0334606,8
umls:C0152439,6
umls:C1851710,7
umls:C0016952,3
umls:C0392400,7
umls:C0001787,6
umls:C0333307,10
umls:C0015397,4
umls:C0268151,10
umls:C0574083,3
umls:C0155686,6
umls:C2678065,6
umls:C0033626,7
umls:C1689817,10
umls:C0029458,5
umls:C1837249,7
umls:C0024591,2
umls:C1270972,6
umls:C0343057,7
umls:C0398568,9
umls:C0948775,7
umls:C0024796,1
umls:C1861456,1
umls:C3541518,1
umls:C0265287,1
umls:C1858556,1
umls:C3280054,1
umls:C1869115,1
umls:C0013581,1
umls:C0162872,1
umls:C0265313,1
umls:C0003496,1
umls:C0003706,1
umls:C1321551,1
umls:C1851286,1
umls:C0160390,1
umls:C1851718,10
umls:C1866983,1
umls:C0009782,1
umls:C0026267,1
umls:C0011644,1
umls:C0019880,1
umls:C0039685,10
umls:C3178782,1
umls:C0003486,2
umls:C0017601,4
umls:C0023316,1
umls:C0019555,1
umls:C0017612,5
umls:C0410787,1
umls:C0005911,6
umls:C0012359,6
umls:C0003507,8
umls:C0206368,6
umls:C0220668,1
umls:C0003493,6
umls:C1812607,1
umls:C2697932,10
umls:C0340643,1
umls:C3489726,10
umls:C0023787,7
umls:C0221032,7
umls:C0002940,2
umls:C0265004,1
umls:C0340629,1
umls:C0243050,2
umls:C0031099,8
umls:C0221357,6
umls:C0152459,10
umls:C0003499,4
umls:C0033377,4
umls:C0600033,1
umls:C0575158,1
umls:C0345392,1
umls:C0268365,1
umls:C0265385,6
umls:C0241165,1
umls:C2746069,1
umls:C0345050,1
umls:C0027092,6
umls:C0042025,7
umls:C0595936,8
umls:C0238669,1
umls:C0406586,1
umls:C0856747,10
umls:C0026266,7
umls:C1299432,10
umls:C0042373,7
umls:C0549473,10
umls:C0677932,7
umls:C3539781,7
umls:C0011206,6
umls:C0410702,7
umls:C0206682,6
umls:C0014118,4
umls:C0043194,7
umls:C0033999,6
umls:C0265227,2
umls:C1836635,10
umls:C0026265,8
umls:C0013720,3
umls:C0687720,4
umls:C0020541,4
umls:C0011848,4
umls:C0020649,4
umls:C0032617,4
umls:C0020625,4
umls:C0002962,4
umls:C2609414,10
umls:C0017181,4
umls:C0002622,4
umls:C0025261,4
umls:C0013390,4
umls:C0029944,10
umls:C0021141,4
umls:C0038587,4
umls:C0009952,6
umls:C1563705,3
umls:C0677501,3
